Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
207410.txt,0.1978,284,1431,292,1527,0
207451.txt,0.096,2962,15228,2899,15921,0.821
207514.txt,0.0635,2210,11744,2092,11718,0.4594
207859.txt,0.1131,5297,28025,5067,29304,2.4994
207897.txt,0.0972,6973,35459,6620,36566,4.2764
207911.txt,0.1621,4631,23666,4133,24057,1.9021
208009.txt,0.3631,568,2486,433,2385,0.0212
208109.txt,0.3713,41436,170099,29719,171678,113.4727
208144.txt,0.1007,1254,6795,1200,6821,0.1351
208283.txt,0.1722,9480,42448,7932,43021,6.4681
208545.txt,0.1113,22353,123202,21538,129389,59.7575
208571.txt,0.3468,1011,4420,977,5940,0.0998
208656.txt,0.3816,3469,10921,2009,11077,0.4228
208682.txt,0.1317,1231,5550,1007,5391,0.0826
208748.txt,0.4042,21023,99411,20134,146830,59.5379
208787.txt,0.5553,779,3729,932,5001,0.0664
208850.txt,0.1718,4450,22030,3803,22556,1.6501
208862.txt,0.2511,10116,47941,9114,52250,8.8488
208941.txt,0.0888,12705,67983,11788,68693,17.0323
208955.txt,0.1452,901,4804,825,4938,0.079
,,,,,,
Average Character Error Rate for all documents,0.2162,,,,,
Total time to process all documents,280.1022 seconds,,,,,
Total tokens (OCR) for all documents,153133,,,,,
Total characters (OCR) for all documents,727372,,,,,
Total tokens (Truth) for all documents,132514,,,,,
Total characters (Truth) for all documents,795063,,,,,
