Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
207410_page_1.txt,11.4019,257,1306,19,107,0.0000
207410_page_2.txt,0.9302,27,124,273,1446,0.0000
207451_page_1.txt,0.1318,196,1006,201,1085,0.0000
207451_page_10.txt,0.0597,258,1313,248,1339,0.0017
207451_page_11.txt,0.0657,238,1291,220,1309,0.0005
207451_page_12.txt,0.1099,224,1228,226,1319,0.0000
207451_page_13.txt,0.0574,236,1258,234,1307,0.0125
207451_page_2.txt,0.1317,237,1096,219,1154,0.0058
207451_page_3.txt,0.1121,226,1102,196,1115,0.0010
207451_page_4.txt,0.1398,234,1206,241,1345,0.0045
207451_page_5.txt,0.1893,282,1365,283,1569,0.0145
207451_page_6.txt,0.1273,208,1115,216,1225,0.0005
207451_page_7.txt,0.0656,212,1114,210,1173,0.0141
207451_page_8.txt,0.0879,195,1019,187,1047,0.0052
207451_page_9.txt,0.0997,216,1103,218,1193,0.0000
207514_page_1.txt,0.7010,103,356,100,515,0.0097
207514_page_10.txt,0.1054,193,969,161,920,0.0000
207514_page_2.txt,0.1250,127,702,118,696,0.0023
207514_page_3.txt,0.0560,198,1032,188,1036,0.0085
207514_page_4.txt,0.0373,346,1887,340,1904,0.0192
207514_page_5.txt,0.0752,262,1431,241,1423,0.0149
207514_page_6.txt,0.0367,240,1419,236,1445,0.0150
207514_page_7.txt,0.0342,259,1459,258,1490,0.0028
207514_page_8.txt,0.0508,224,1181,217,1201,0.0000
207514_page_9.txt,0.0607,258,1299,233,1286,0.0140
207859_page_1.txt,0.5980,108,565,106,607,0.0000
207859_page_10.txt,0.0459,124,724,123,741,0.0026
207859_page_11.txt,0.0665,433,2514,439,2603,0.0301
207859_page_12.txt,0.3953,126,575,110,597,0.0000
207859_page_13.txt,0.1797,171,789,134,790,0.0000
207859_page_14.txt,0.3190,116,601,114,630,0.0000
207859_page_15.txt,0.4836,84,402,80,426,0.0000
207859_page_16.txt,0.0487,214,1140,191,1129,0.0056
207859_page_17.txt,0.0584,80,442,71,445,0.0000
207859_page_18.txt,0.1724,129,659,125,696,0.0000
207859_page_19.txt,0.0376,160,907,160,932,0.0080
207859_page_2.txt,0.0443,176,1042,178,1062,0.0043
207859_page_20.txt,0.0610,111,580,101,574,0.0000
207859_page_21.txt,0.0384,117,685,116,704,0.0000
207859_page_22.txt,0.1115,207,1135,199,1166,0.0064
207859_page_23.txt,0.0367,139,722,139,735,0.0110
207859_page_24.txt,0.0563,88,480,87,497,0.0000
207859_page_25.txt,0.0330,211,1185,210,1213,0.0000
207859_page_26.txt,0.3157,68,398,64,529,0.0000
207859_page_27.txt,0.3914,167,858,147,1321,0.0000
207859_page_28.txt,0.0303,233,1261,227,1288,0.0134
207859_page_29.txt,0.0602,71,394,74,415,0.0000
207859_page_3.txt,0.2669,43,226,43,236,0.0000
207859_page_30.txt,0.3314,120,502,107,522,0.0000
207859_page_31.txt,0.0827,299,1378,267,1390,0.0017
207859_page_32.txt,0.2583,77,374,90,484,0.0000
207859_page_33.txt,0.6303,91,351,64,357,0.0000
207859_page_4.txt,0.0806,295,1555,292,1589,0.0074
207859_page_5.txt,0.3538,126,617,111,619,0.0000
207859_page_6.txt,0.1585,152,777,152,833,0.0000
207859_page_7.txt,0.0310,177,979,178,1001,0.0000
207859_page_8.txt,0.0308,358,1867,342,1882,0.0168
207859_page_9.txt,0.0270,227,1309,226,1334,0.0198
207897_page_1.txt,0.1483,85,486,88,553,0.0000
207897_page_10.txt,0.1456,359,1923,355,2163,0.0180
207897_page_11.txt,0.2801,159,686,130,664,0.0000
207897_page_12.txt,0.1140,226,1230,215,1272,0.0000
207897_page_13.txt,0.2810,131,617,134,694,0.0000
207897_page_14.txt,0.1652,185,824,179,884,0.0000
207897_page_15.txt,0.0251,132,670,129,676,0.0000
207897_page_16.txt,0.0269,222,1130,222,1154,0.0000
207897_page_17.txt,0.0321,279,1526,266,1526,0.0000
207897_page_18.txt,0.0309,91,475,91,485,0.0000
207897_page_19.txt,0.3424,128,575,118,625,0.0000
207897_page_2.txt,0.1806,114,579,103,620,0.0000
207897_page_20.txt,0.1572,160,888,163,973,0.0000
207897_page_21.txt,0.1887,136,643,137,710,0.0000
207897_page_22.txt,0.0322,129,655,120,652,0.0000
207897_page_23.txt,0.2229,121,629,104,664,0.0000
207897_page_24.txt,0.0357,151,812,143,812,0.0000
207897_page_25.txt,0.0278,170,860,159,863,0.0000
207897_page_26.txt,0.1701,109,604,106,682,0.0000
207897_page_27.txt,0.0245,138,720,138,735,0.0000
207897_page_28.txt,0.0310,141,766,137,774,0.0000
207897_page_29.txt,0.0339,372,1910,350,1916,0.0122
207897_page_3.txt,0.1242,363,1717,311,1707,0.0145
207897_page_30.txt,0.0239,201,919,197,922,0.0058
207897_page_31.txt,0.0334,118,667,120,688,0.0000
207897_page_32.txt,0.0255,302,1666,293,1684,0.0000
207897_page_33.txt,0.1050,166,961,159,895,0.0005
207897_page_34.txt,0.2487,161,775,128,941,0.0000
207897_page_35.txt,0.0766,401,2094,370,2127,0.0156
207897_page_36.txt,0.4263,114,483,101,502,0.0000
207897_page_4.txt,0.1367,165,775,142,812,0.0000
207897_page_5.txt,0.0627,491,2377,484,2439,0.0139
207897_page_6.txt,0.0202,236,1224,230,1236,0.0000
207897_page_7.txt,0.1250,219,1082,219,1160,0.0000
207897_page_8.txt,0.3358,133,636,121,664,0.0000
207897_page_9.txt,0.1333,165,840,158,900,0.0000
207911_page_1.txt,0.2653,350,1695,314,1817,0.0124
207911_page_10.txt,0.1364,466,2458,415,2448,0.0158
207911_page_11.txt,0.1138,426,2165,390,2214,0.0122
207911_page_12.txt,0.1321,198,990,181,999,0.0157
207911_page_13.txt,0.3889,132,671,124,941,0.0000
207911_page_2.txt,0.0967,502,2750,455,2792,0.0304
207911_page_3.txt,0.2406,147,714,114,715,0.0000
207911_page_4.txt,0.1203,410,2064,382,2087,0.0173
207911_page_5.txt,0.1332,429,2320,390,2320,0.0125
207911_page_6.txt,0.1265,450,2304,415,2347,0.0325
207911_page_7.txt,0.3266,182,916,137,839,0.0000
207911_page_8.txt,0.2056,519,2511,429,2524,0.0314
207911_page_9.txt,0.1644,421,2096,387,2160,0.0094
208009_page_1.txt,0.4357,397,1732,294,1712,0.0190
208009_page_2.txt,0.2207,171,753,139,725,0.0020
208109_page_1.txt,0.6590,75,252,72,393,0.0000
208109_page_10.txt,0.3869,100,475,97,548,0.0000
208109_page_11.txt,0.5096,507,1653,344,1884,0.0118
208109_page_12.txt,0.4681,630,2499,465,2598,0.0156
208109_page_13.txt,0.4888,740,2762,530,3067,0.0312
208109_page_14.txt,0.4398,775,2995,506,3006,0.0458
208109_page_15.txt,0.4952,736,2761,514,2894,0.0301
208109_page_16.txt,0.7226,638,1756,364,2127,0.0121
208109_page_17.txt,0.7513,545,1540,494,2746,0.0160
208109_page_18.txt,0.6408,926,2602,500,2759,0.0398
208109_page_19.txt,0.5884,672,2345,552,3088,0.0192
208109_page_2.txt,0.8375,357,893,128,1237,0.0000
208109_page_20.txt,0.5121,716,2709,492,3009,0.0254
208109_page_21.txt,0.0233,428,2542,428,2576,0.0150
208109_page_22.txt,0.0226,475,2803,473,2834,0.0313
208109_page_23.txt,0.0199,450,2634,448,2670,0.0164
208109_page_24.txt,0.0287,146,860,146,871,0.0000
208109_page_25.txt,0.4655,491,2053,406,2350,0.0156
208109_page_26.txt,0.2278,691,2954,482,2757,0.0389
208109_page_27.txt,0.3648,691,2864,482,2854,0.0318
208109_page_28.txt,0.4689,652,2509,433,2574,0.0179
208109_page_29.txt,0.5004,758,2859,465,2626,0.0340
208109_page_3.txt,0.8130,281,815,107,818,0.0000
208109_page_30.txt,0.4943,737,2903,480,2824,0.0305
208109_page_31.txt,0.3940,362,1351,247,1401,0.0043
208109_page_32.txt,0.6470,539,1710,336,2048,0.0118
208109_page_33.txt,0.5301,921,2908,508,2837,0.0333
208109_page_34.txt,0.2960,708,2875,521,2875,0.0373
208109_page_35.txt,0.4451,750,2913,495,2786,0.0332
208109_page_36.txt,0.4085,774,2804,481,2720,0.0316
208109_page_37.txt,0.4616,1017,3328,517,2979,0.0345
208109_page_38.txt,0.4978,651,2482,439,2503,0.0250
208109_page_39.txt,0.4061,693,2794,450,2566,0.0254
208109_page_4.txt,0.4746,791,2711,448,2653,0.0317
208109_page_40.txt,0.2770,623,2668,454,2534,0.0225
208109_page_41.txt,0.4306,411,1577,210,1275,0.0000
208109_page_42.txt,0.3740,600,2376,416,2310,0.0145
208109_page_43.txt,0.3485,705,2779,453,2502,0.0198
208109_page_44.txt,0.1676,537,2714,447,2619,0.0330
208109_page_45.txt,0.2074,595,2878,469,2802,0.0333
208109_page_46.txt,0.5176,328,1255,239,1447,0.0130
208109_page_47.txt,0.3304,514,2218,387,2152,0.0175
208109_page_48.txt,0.5146,319,1222,219,1475,0.0158
208109_page_49.txt,0.1646,612,2983,534,2922,0.0335
208109_page_5.txt,0.3539,114,427,75,438,0.0000
208109_page_50.txt,0.3129,732,3305,519,3017,0.0312
208109_page_51.txt,0.2442,510,2438,389,2330,0.0135
208109_page_52.txt,0.2759,632,2988,503,2936,0.0256
208109_page_53.txt,0.3494,657,3109,492,2959,0.0462
208109_page_54.txt,0.4811,301,1310,172,1295,0.0052
208109_page_55.txt,0.1881,557,2694,440,2594,0.0173
208109_page_56.txt,0.2536,635,3013,468,2772,0.0324
208109_page_57.txt,0.1511,538,2567,413,2442,0.0352
208109_page_58.txt,0.2048,509,2518,441,2485,0.0268
208109_page_59.txt,0.2296,617,2863,463,2666,0.0311
208109_page_6.txt,0.2550,404,1815,338,1894,0.0155
208109_page_60.txt,0.3345,638,2751,485,2667,0.0297
208109_page_61.txt,1.7250,325,759,49,320,0.0000
208109_page_62.txt,0.2414,574,2527,409,2307,0.0178
208109_page_63.txt,0.2725,297,1276,206,1189,0.0000
208109_page_64.txt,0.2461,570,2624,409,2454,0.0156
208109_page_65.txt,0.3644,498,2079,347,2069,0.0171
208109_page_66.txt,0.3086,378,1620,272,1520,0.0011
208109_page_67.txt,0.4096,550,2354,447,2615,0.0163
208109_page_68.txt,0.0808,526,2827,470,2773,0.0359
208109_page_69.txt,0.1714,616,2938,463,2736,0.0452
208109_page_7.txt,0.8656,270,585,386,2173,0.0000
208109_page_70.txt,0.1705,581,2775,451,2657,0.0314
208109_page_71.txt,0.2171,528,2480,399,2372,0.0312
208109_page_72.txt,0.3945,229,859,125,801,0.0000
208109_page_73.txt,0.2720,555,2707,426,2518,0.0183
