Document,CER,Language (10 chars),P(10 chars),Language (100 chars),P (100 chars),Language (500 chars),P (500 chars),Language (1000 chars),P (1000 chars),Language (5000 chars),P (5000 chars)
207410.txt,0.197800,it,0.999994,en,0.999994,en,0.999996,en,0.999997,en,0.999998
207451.txt,0.096000,vi,0.857141,en,0.857140,en,0.999995,en,0.999998,en,0.999997
207514.txt,0.063500,hu,0.999994,en,0.999996,en,0.999997,en,0.999997,en,0.999999
207859.txt,0.113100,en,0.999996,en,0.999996,en,0.999997,en,0.999996,en,0.999997
207897.txt,0.097200,de,0.999996,en,0.999995,en,0.999998,en,0.999996,en,0.999997
207911.txt,0.162100,hu,0.999993,pt,0.857138,en,0.999996,en,0.999997,en,0.999997
208009.txt,0.363100,NA,0.000000,en,0.999997,en,0.999993,en,0.999994,en,0.999996
208109.txt,0.371300,en,0.999995,en,0.999997,en,0.999996,en,0.999996,en,0.999996
208144.txt,0.100700,et,0.571427,en,0.999996,en,0.999996,en,0.999996,en,0.999996
208283.txt,0.172200,en,0.999995,en,0.999997,en,0.999998,en,0.999997,en,0.999997
208545.txt,0.111300,id,0.999992,en,0.999995,en,0.999998,en,0.999997,en,0.999995
208571.txt,0.346800,pl,0.999992,en,0.999996,en,0.999999,en,0.999998,en,0.999997
208656.txt,0.381600,ca,0.999995,it,0.714283,en,0.999997,en,0.999997,en,0.999998
208682.txt,0.131700,en,0.571428,en,0.553551,en,0.999998,en,0.999999,en,0.999998
208748.txt,0.404200,it,0.999993,en,0.999996,en,0.999996,en,0.999996,en,0.999997
208787.txt,0.555300,en,0.999996,en,0.999994,en,0.999996,en,0.999998,en,0.999997
208850.txt,0.171800,en,0.445971,en,0.999998,en,0.999995,en,0.999998,en,0.999999
208862.txt,0.251100,no,0.999993,en,0.857138,en,0.999997,en,0.999997,en,0.999996
208941.txt,0.088800,sq,0.999993,en,0.571425,en,0.999996,en,0.999997,en,0.999995
208955.txt,0.145200,sl,0.714286,en,0.999995,en,0.999998,en,0.999997,en,0.999997
